ID,pair_id,cluster,time
20060504062531,NA,Cluster 4  |  n = 1111,t1
20060504062534,NA,Cluster 1  |  n = 1650,t1
20060504062541,NA,Cluster 1  |  n = 1650,t1
20060504062553,NA,Cluster 1  |  n = 1650,t1
20060504062555,NA,Cluster 1  |  n = 1650,t1
20060504062557,NA,Cluster 4  |  n = 1111,t1
20060504062558,NA,Cluster 3  |  n = 158,t1
20060504062562,NA,Cluster 2  |  n = 446,t1
20060505060036,NA,Cluster 4  |  n = 1111,t1
20060505060053,NA,Cluster 1  |  n = 1650,t1
20060505060063,NA,Cluster 1  |  n = 1650,t1
20060505060079,NA,Cluster 4  |  n = 1111,t1
20060505060127,NA,Cluster 2  |  n = 446,t1
20060505060557,NA,Cluster 4  |  n = 1111,t1
20060505060564,NA,Cluster 2  |  n = 446,t1
20060505060565,NA,Cluster 1  |  n = 1650,t1
20060505060567,NA,Cluster 1  |  n = 1650,t1
20060505060604,NA,Cluster 2  |  n = 446,t1
20060505060608,NA,Cluster 1  |  n = 1650,t1
20060505060613,NA,Cluster 4  |  n = 1111,t1
20060505060687,NA,Cluster 1  |  n = 1650,t1
20060505060695,NA,Cluster 2  |  n = 446,t1
20060505060713,NA,Cluster 1  |  n = 1650,t1
20060505060742,NA,Cluster 1  |  n = 1650,t1
20060505060804,NA,Cluster 1  |  n = 1650,t1
20060505060812,NA,Cluster 2  |  n = 446,t1
20060505060825,NA,Cluster 4  |  n = 1111,t1
20060505060861,NA,Cluster 1  |  n = 1650,t1
20060505060886,NA,Cluster 4  |  n = 1111,t1
20060505060933,NA,Cluster 1  |  n = 1650,t1
20060505060967,NA,Cluster 1  |  n = 1650,t1
20060505060990,NA,Cluster 4  |  n = 1111,t1
20060505061006,NA,Cluster 1  |  n = 1650,t1
20060505061060,NA,Cluster 3  |  n = 158,t1
20060505061064,NA,Cluster 4  |  n = 1111,t1
20060505061067,NA,Cluster 4  |  n = 1111,t1
20060505061106,NA,Cluster 3  |  n = 158,t1
20060505061119,NA,Cluster 1  |  n = 1650,t1
20060505061121,NA,Cluster 1  |  n = 1650,t1
20060505061125,NA,Cluster 1  |  n = 1650,t1
20060505061185,NA,Cluster 1  |  n = 1650,t1
20060505061245,NA,Cluster 4  |  n = 1111,t1
20060505061366,NA,Cluster 1  |  n = 1650,t1
20060505061426,NA,Cluster 1  |  n = 1650,t1
20060505061431,NA,Cluster 2  |  n = 446,t1
20060505061433,NA,Cluster 4  |  n = 1111,t1
20060505061475,NA,Cluster 2  |  n = 446,t1
20060505061507,NA,Cluster 3  |  n = 158,t1
20060505061516,NA,Cluster 1  |  n = 1650,t1
20060505061545,NA,Cluster 1  |  n = 1650,t1
20060505061591,NA,Cluster 4  |  n = 1111,t1
20060505061602,NA,Cluster 4  |  n = 1111,t1
20060505061658,NA,Cluster 2  |  n = 446,t1
20060505061673,NA,Cluster 3  |  n = 158,t1
20060505061675,NA,Cluster 4  |  n = 1111,t1
20060505061740,NA,Cluster 1  |  n = 1650,t1
20060505061749,NA,Cluster 1  |  n = 1650,t1
20060505061759,NA,Cluster 4  |  n = 1111,t1
20060505061765,NA,Cluster 1  |  n = 1650,t1
20060505061836,NA,Cluster 4  |  n = 1111,t1
20060505061856,NA,Cluster 1  |  n = 1650,t1
20060505061900,NA,Cluster 1  |  n = 1650,t1
20060505061901,NA,Cluster 4  |  n = 1111,t1
20060505061909,NA,Cluster 4  |  n = 1111,t1
20060505061917,NA,Cluster 1  |  n = 1650,t1
20060505061996,NA,Cluster 4  |  n = 1111,t1
20060505062005,NA,Cluster 1  |  n = 1650,t1
20060505062047,NA,Cluster 2  |  n = 446,t1
20060505062074,NA,Cluster 2  |  n = 446,t1
20060505062094,NA,Cluster 2  |  n = 446,t1
20060505062098,NA,Cluster 4  |  n = 1111,t1
20060505062101,NA,Cluster 1  |  n = 1650,t1
20060505062102,NA,Cluster 4  |  n = 1111,t1
20060505062104,NA,Cluster 4  |  n = 1111,t1
20060505062115,NA,Cluster 2  |  n = 446,t1
20060505062176,NA,Cluster 4  |  n = 1111,t1
20060505062177,NA,Cluster 2  |  n = 446,t1
20060505062181,NA,Cluster 2  |  n = 446,t1
20060505062196,NA,Cluster 1  |  n = 1650,t1
20060505062218,NA,Cluster 1  |  n = 1650,t1
20060505062221,NA,Cluster 1  |  n = 1650,t1
20060505062249,NA,Cluster 1  |  n = 1650,t1
20060505062265,NA,Cluster 4  |  n = 1111,t1
20060505062281,NA,Cluster 4  |  n = 1111,t1
20060505062295,NA,Cluster 2  |  n = 446,t1
20060505062296,NA,Cluster 4  |  n = 1111,t1
20060505062307,NA,Cluster 4  |  n = 1111,t1
20060505062332,NA,Cluster 1  |  n = 1650,t1
20060505062355,NA,Cluster 4  |  n = 1111,t1
20060505062365,NA,Cluster 4  |  n = 1111,t1
20060505062406,NA,Cluster 4  |  n = 1111,t1
20060505062410,NA,Cluster 1  |  n = 1650,t1
20060505062446,NA,Cluster 1  |  n = 1650,t1
20060505062479,NA,Cluster 3  |  n = 158,t1
20060505062511,NA,Cluster 4  |  n = 1111,t1
20060505062534,NA,Cluster 1  |  n = 1650,t1
20060603060594,NA,Cluster 4  |  n = 1111,t1
20060603060932,NA,Cluster 1  |  n = 1650,t1
20060603060962,NA,Cluster 1  |  n = 1650,t1
20060604060096,NA,Cluster 2  |  n = 446,t1
20060604060105,NA,Cluster 1  |  n = 1650,t1
20060604060548,NA,Cluster 1  |  n = 1650,t1
20060604060590,NA,Cluster 2  |  n = 446,t1
20060604060613,NA,Cluster 2  |  n = 446,t1
20060604060652,NA,Cluster 4  |  n = 1111,t1
20060604060664,NA,Cluster 2  |  n = 446,t1
20060604060826,NA,Cluster 1  |  n = 1650,t1
20060604060840,NA,Cluster 1  |  n = 1650,t1
20060604060877,NA,Cluster 2  |  n = 446,t1
20060604060880,NA,Cluster 4  |  n = 1111,t1
20060604061020,NA,Cluster 1  |  n = 1650,t1
20060604061029,NA,Cluster 1  |  n = 1650,t1
